name|form|href|imgSrc|typeColour
Pidgey||/wiki/Pidgey_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/0c/0016Pidgey.png/70px-0016Pidgey.png|#A8A878
Pidgeotto||/wiki/Pidgeotto_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/82/0017Pidgeotto.png/70px-0017Pidgeotto.png|#A8A878
Pidgeot||/wiki/Pidgeot_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/73/0018Pidgeot.png/70px-0018Pidgeot.png|#A8A878
Rattata||/wiki/Rattata_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/aa/0019Rattata.png/70px-0019Rattata.png|#A8A878
Rattata|Alolan Form|/wiki/Rattata_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/be/0019Rattata-Alola.png/70px-0019Rattata-Alola.png|#705848
Raticate||/wiki/Raticate_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/70px-0020Raticate.png|#A8A878
Raticate|Alolan Form|/wiki/Raticate_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/ad/0020Raticate-Alola.png/70px-0020Raticate-Alola.png|#705848
Spearow||/wiki/Spearow_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/2d/0021Spearow.png/70px-0021Spearow.png|#A8A878
Fearow||/wiki/Fearow_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/92/0022Fearow.png/70px-0022Fearow.png|#A8A878
Ekans||/wiki/Ekans_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d2/0023Ekans.png/70px-0023Ekans.png|#A040A0
Arbok||/wiki/Arbok_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/51/0024Arbok.png/70px-0024Arbok.png|#A040A0
Pikachu||/wiki/Pikachu_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/70px-0025Pikachu.png|#F8D030
Raichu||/wiki/Raichu_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b0/0026Raichu.png/70px-0026Raichu.png|#F8D030
Raichu|Alolan Form|/wiki/Raichu_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/65/0026Raichu-Alola.png/70px-0026Raichu-Alola.png|#F8D030
Sandshrew||/wiki/Sandshrew_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e9/0027Sandshrew.png/70px-0027Sandshrew.png|#E0C068
Sandshrew|Alolan Form|/wiki/Sandshrew_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f4/0027Sandshrew-Alola.png/70px-0027Sandshrew-Alola.png|#98D8D8
Sandslash||/wiki/Sandslash_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a4/0028Sandslash.png/70px-0028Sandslash.png|#E0C068
Sandslash|Alolan Form|/wiki/Sandslash_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e0/0028Sandslash-Alola.png/70px-0028Sandslash-Alola.png|#98D8D8
Nidoran♀||/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b2/0029Nidoran.png/70px-0029Nidoran.png|#A040A0
Nidorina||/wiki/Nidorina_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/ea/0030Nidorina.png/70px-0030Nidorina.png|#A040A0
Nidoqueen||/wiki/Nidoqueen_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/9d/0031Nidoqueen.png/70px-0031Nidoqueen.png|#A040A0
Nidoran♂||/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/8c/0032Nidoran.png/70px-0032Nidoran.png|#A040A0
Nidoking||/wiki/Nidoking_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/21/0034Nidoking.png/70px-0034Nidoking.png|#A040A0
Nidorino||/wiki/Nidorino_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/1e/0033Nidorino.png/70px-0033Nidorino.png|#A040A0
Clefairy||/wiki/Clefairy_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b7/0035Clefairy.png/70px-0035Clefairy.png|#EE99AC
Clefable||/wiki/Clefable_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a4/0036Clefable.png/70px-0036Clefable.png|#EE99AC
Vulpix||/wiki/Vulpix_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/06/0037Vulpix.png/70px-0037Vulpix.png|#F08030
Vulpix|Alolan Form|/wiki/Vulpix_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/6b/0037Vulpix-Alola.png/70px-0037Vulpix-Alola.png|#98D8D8
Ninetales||/wiki/Ninetales_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3e/0038Ninetales.png/70px-0038Ninetales.png|#F08030
Ninetales|Alolan Form|/wiki/Ninetales_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/7f/0038Ninetales-Alola.png/70px-0038Ninetales-Alola.png|#98D8D8
Jigglypuff||/wiki/Jigglypuff_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3a/0039Jigglypuff.png/70px-0039Jigglypuff.png|#A8A878
Wigglytuff||/wiki/Wigglytuff_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e2/0040Wigglytuff.png/70px-0040Wigglytuff.png|#A8A878
Zubat||/wiki/Zubat_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/4c/0041Zubat.png/70px-0041Zubat.png|#A040A0
Golbat||/wiki/Golbat_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/76/0042Golbat.png/70px-0042Golbat.png|#A040A0
Oddish||/wiki/Oddish_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/16/0043Oddish.png/70px-0043Oddish.png|#78C850
Gloom||/wiki/Gloom_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e0/0044Gloom.png/70px-0044Gloom.png|#78C850
Vileplume||/wiki/Vileplume_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/89/0045Vileplume.png/70px-0045Vileplume.png|#78C850
Paras||/wiki/Paras_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/8a/0046Paras.png/70px-0046Paras.png|#A8B820
Parasect||/wiki/Parasect_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/7b/0047Parasect.png/70px-0047Parasect.png|#A8B820
Venonat||/wiki/Venonat_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/2c/0048Venonat.png/70px-0048Venonat.png|#A8B820
Venomoth||/wiki/Venomoth_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/0e/0049Venomoth.png/70px-0049Venomoth.png|#A8B820
Diglett||/wiki/Diglett_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a6/0050Diglett.png/70px-0050Diglett.png|#E0C068
Diglett|Alolan Form|/wiki/Diglett_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/61/0050Diglett-Alola.png/70px-0050Diglett-Alola.png|#E0C068
Dugtrio||/wiki/Dugtrio_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/88/0051Dugtrio.png/70px-0051Dugtrio.png|#E0C068
Dugtrio|Alolan Form|/wiki/Dugtrio_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/91/0051Dugtrio-Alola.png/70px-0051Dugtrio-Alola.png|#E0C068
Meowth||/wiki/Meowth_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d6/0052Meowth.png/70px-0052Meowth.png|#A8A878
Meowth|Alolan Form|/wiki/Meowth_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/32/0052Meowth-Alola.png/70px-0052Meowth-Alola.png|#705848
Meowth|Galarian Form|/wiki/Meowth_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3d/0052Meowth-Galar.png/70px-0052Meowth-Galar.png|#B8B8D0
Persian||/wiki/Persian_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b0/0053Persian.png/70px-0053Persian.png|#A8A878
Persian|Alolan Form|/wiki/Persian_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/8c/0053Persian-Alola.png/70px-0053Persian-Alola.png|#705848
Psyduck||/wiki/Psyduck_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3f/0054Psyduck.png/70px-0054Psyduck.png|#6890F0
Golduck||/wiki/Golduck_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/ed/0055Golduck.png/70px-0055Golduck.png|#6890F0
Mankey||/wiki/Mankey_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/fa/0056Mankey.png/70px-0056Mankey.png|#C03028
Primeape||/wiki/Primeape_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/2c/0057Primeape.png/70px-0057Primeape.png|#C03028
Growlithe||/wiki/Growlithe_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/6a/0058Growlithe.png/70px-0058Growlithe.png|#F08030
Growlithe|Hisuian Form|/wiki/Growlithe_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3b/0058Growlithe-Hisui.png/70px-0058Growlithe-Hisui.png|#F08030
Arcanine||/wiki/Arcanine_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/42/0059Arcanine.png/70px-0059Arcanine.png|#F08030
Arcanine|Hisuian Form|/wiki/Arcanine_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/79/0059Arcanine-Hisui.png/70px-0059Arcanine-Hisui.png|#F08030
Poliwag||/wiki/Poliwag_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e4/0060Poliwag.png/70px-0060Poliwag.png|#6890F0
Poliwhirl||/wiki/Poliwhirl_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/fd/0061Poliwhirl.png/70px-0061Poliwhirl.png|#6890F0
Poliwrath||/wiki/Poliwrath_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/80/0062Poliwrath.png/70px-0062Poliwrath.png|#6890F0
Abra||/wiki/Abra_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/bd/0063Abra.png/70px-0063Abra.png|#F85888
Kadabra||/wiki/Kadabra_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/af/0064Kadabra.png/70px-0064Kadabra.png|#F85888
Alakazam||/wiki/Alakazam_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/bb/0065Alakazam.png/70px-0065Alakazam.png|#F85888
Machop||/wiki/Machop_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/02/0066Machop.png/70px-0066Machop.png|#C03028
Machoke||/wiki/Machoke_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/22/0067Machoke.png/70px-0067Machoke.png|#C03028
Machamp||/wiki/Machamp_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/82/0068Machamp.png/70px-0068Machamp.png|#C03028
Bellsprout||/wiki/Bellsprout_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/66/0069Bellsprout.png/70px-0069Bellsprout.png|#78C850
Weepinbell||/wiki/Weepinbell_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/c1/0070Weepinbell.png/70px-0070Weepinbell.png|#78C850
Victreebel||/wiki/Victreebel_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e9/0071Victreebel.png/70px-0071Victreebel.png|#78C850
Tentacool||/wiki/Tentacool_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/6e/0072Tentacool.png/70px-0072Tentacool.png|#6890F0
Tentacruel||/wiki/Tentacruel_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/cb/0073Tentacruel.png/70px-0073Tentacruel.png|#6890F0
Geodude||/wiki/Geodude_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/97/0074Geodude.png/70px-0074Geodude.png|#B8A038
Geodude|Alolan Form|/wiki/Geodude_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a4/0074Geodude-Alola.png/70px-0074Geodude-Alola.png|#B8A038
Graveler||/wiki/Graveler_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d4/0075Graveler.png/70px-0075Graveler.png|#B8A038
Graveler|Alolan Form|/wiki/Graveler_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/05/0075Graveler-Alola.png/70px-0075Graveler-Alola.png|#B8A038
Golem||/wiki/Golem_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/38/0076Golem.png/70px-0076Golem.png|#B8A038
Golem|Alolan Form|/wiki/Golem_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/9e/0076Golem-Alola.png/70px-0076Golem-Alola.png|#B8A038
Ponyta||/wiki/Ponyta_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/c0/0077Ponyta.png/70px-0077Ponyta.png|#F08030
Ponyta|Galarian Form|/wiki/Ponyta_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/93/0077Ponyta-Galar.png/70px-0077Ponyta-Galar.png|#F85888
Rapidash||/wiki/Rapidash_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a9/0078Rapidash.png/70px-0078Rapidash.png|#F08030
Rapidash|Galarian Form|/wiki/Rapidash_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f2/0078Rapidash-Galar.png/70px-0078Rapidash-Galar.png|#F85888
Slowpoke||/wiki/Slowpoke_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/19/0079Slowpoke.png/70px-0079Slowpoke.png|#6890F0
Slowpoke|Galarian Form|/wiki/Slowpoke_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e5/0079Slowpoke-Galar.png/70px-0079Slowpoke-Galar.png|#F85888
Slowbro||/wiki/Slowbro_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a3/0080Slowbro.png/70px-0080Slowbro.png|#6890F0
Slowbro|Galarian Form|/wiki/Slowbro_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b3/0080Slowbro-Galar.png/70px-0080Slowbro-Galar.png|#A040A0
Magnemite||/wiki/Magnemite_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a2/0081Magnemite.png/70px-0081Magnemite.png|#F8D030
Magneton||/wiki/Magneton_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d9/0082Magneton.png/70px-0082Magneton.png|#F8D030
Farfetch'd||/wiki/Farfetch%27d_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/99/0083Farfetch%27d.png/70px-0083Farfetch%27d.png|#A8A878
Farfetch'd|Galarian Form|/wiki/Farfetch%27d_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d1/0083Farfetch%27d-Galar.png/70px-0083Farfetch%27d-Galar.png|#C03028
Doduo||/wiki/Doduo_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b9/0084Doduo.png/70px-0084Doduo.png|#A8A878
Dodrio||/wiki/Dodrio_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/97/0085Dodrio.png/70px-0085Dodrio.png|#A8A878
Seel||/wiki/Seel_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/22/0086Seel.png/70px-0086Seel.png|#6890F0
Dewgong||/wiki/Dewgong_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/2b/0087Dewgong.png/70px-0087Dewgong.png|#6890F0
Grimer||/wiki/Grimer_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/eb/0088Grimer.png/70px-0088Grimer.png|#A040A0
Grimer|Alolan Form|/wiki/Grimer_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/24/0088Grimer-Alola.png/70px-0088Grimer-Alola.png|#A040A0
Muk||/wiki/Muk_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/41/0089Muk.png/70px-0089Muk.png|#A040A0
Muk|Alolan Form|/wiki/Muk_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/8c/0089Muk-Alola.png/70px-0089Muk-Alola.png|#A040A0
Shellder||/wiki/Shellder_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/3e/0090Shellder.png/70px-0090Shellder.png|#6890F0
Cloyster||/wiki/Cloyster_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/90/0091Cloyster.png/70px-0091Cloyster.png|#6890F0
Gastly||/wiki/Gastly_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/c2/0092Gastly.png/70px-0092Gastly.png|#705898
Haunter||/wiki/Haunter_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/d1/0093Haunter.png/70px-0093Haunter.png|#705898
Gengar||/wiki/Gengar_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/47/0094Gengar.png/70px-0094Gengar.png|#705898
Onix||/wiki/Onix_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b7/0095Onix.png/70px-0095Onix.png|#B8A038
Drowzee||/wiki/Drowzee_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e4/0096Drowzee.png/70px-0096Drowzee.png|#F85888
Hypno||/wiki/Hypno_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/4/4c/0097Hypno.png/70px-0097Hypno.png|#F85888
Krabby||/wiki/Krabby_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/ed/0098Krabby.png/70px-0098Krabby.png|#6890F0
Kingler||/wiki/Kingler_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/ae/0099Kingler.png/70px-0099Kingler.png|#6890F0
Voltorb||/wiki/Voltorb_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/55/0100Voltorb.png/70px-0100Voltorb.png|#F8D030
Voltorb|Hisuian Form|/wiki/Voltorb_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/fc/0100Voltorb-Hisui.png/70px-0100Voltorb-Hisui.png|#F8D030
Electrode||/wiki/Electrode_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/db/0101Electrode.png/70px-0101Electrode.png|#F8D030
Electrode|Hisuian Form|/wiki/Electrode_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/be/0101Electrode-Hisui.png/70px-0101Electrode-Hisui.png|#F8D030
Exeggcute||/wiki/Exeggcute_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/6/60/0102Exeggcute.png/70px-0102Exeggcute.png|#78C850
Exeggutor||/wiki/Exeggutor_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/ae/0103Exeggutor.png/70px-0103Exeggutor.png|#78C850
Exeggutor|Alolan Form|/wiki/Exeggutor_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/9/94/0103Exeggutor-Alola.png/70px-0103Exeggutor-Alola.png|#78C850
Cubone||/wiki/Cubone_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/19/0104Cubone.png/70px-0104Cubone.png|#E0C068
Marowak||/wiki/Marowak_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a1/0105Marowak.png/70px-0105Marowak.png|#E0C068
Marowak|Alolan Form|/wiki/Marowak_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f2/0105Marowak-Alola.png/70px-0105Marowak-Alola.png|#F08030
Hitmonlee||/wiki/Hitmonlee_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/00/0106Hitmonlee.png/70px-0106Hitmonlee.png|#C03028
Hitmonchan||/wiki/Hitmonchan_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/c0/0107Hitmonchan.png/70px-0107Hitmonchan.png|#C03028
Lickitung||/wiki/Lickitung_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f2/0108Lickitung.png/70px-0108Lickitung.png|#A8A878
Koffing||/wiki/Koffing_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/16/0109Koffing.png/70px-0109Koffing.png|#A040A0
Weezing||/wiki/Weezing_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/72/0110Weezing.png/70px-0110Weezing.png|#A040A0
Weezing|Galarian Form|/wiki/Weezing_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/32/0110Weezing-Galar.png/70px-0110Weezing-Galar.png|#A040A0
Rhyhorn||/wiki/Rhyhorn_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/7f/0111Rhyhorn.png/70px-0111Rhyhorn.png|#E0C068
Rhydon||/wiki/Rhydon_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/79/0112Rhydon.png/70px-0112Rhydon.png|#E0C068
Chansey||/wiki/Chansey_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/c/c0/0113Chansey.png/70px-0113Chansey.png|#A8A878
Tangela||/wiki/Tangela_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/22/0114Tangela.png/70px-0114Tangela.png|#78C850
Kangaskhan||/wiki/Kangaskhan_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/e/e5/0115Kangaskhan.png/70px-0115Kangaskhan.png|#A8A878
Horsea||/wiki/Horsea_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/1/14/0116Horsea.png/70px-0116Horsea.png|#6890F0
Seadra||/wiki/Seadra_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/22/0117Seadra.png/70px-0117Seadra.png|#6890F0
Goldeen||/wiki/Goldeen_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/b/b6/0118Goldeen.png/70px-0118Goldeen.png|#6890F0
Seaking||/wiki/Seaking_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/76/0119Seaking.png/70px-0119Seaking.png|#6890F0
Staryu||/wiki/Staryu_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/38/0120Staryu.png/70px-0120Staryu.png|#6890F0
Starmie||/wiki/Starmie_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/aa/0121Starmie.png/70px-0121Starmie.png|#6890F0
Mr. Mime||/wiki/Mr._Mime_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/fb/0122Mr._Mime.png/70px-0122Mr._Mime.png|#F85888
Mr. Mime|Galarian Form|/wiki/Mr._Mime_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/7c/0122Mr._Mime-Galar.png/70px-0122Mr._Mime-Galar.png|#98D8D8
Scyther||/wiki/Scyther_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/8/81/0123Scyther.png/70px-0123Scyther.png|#A8B820
Jynx||/wiki/Jynx_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/07/0124Jynx.png/70px-0124Jynx.png|#98D8D8
Electabuzz||/wiki/Electabuzz_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/5c/0125Electabuzz.png/70px-0125Electabuzz.png|#F8D030
Magmar||/wiki/Magmar_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/7/72/0126Magmar.png/70px-0126Magmar.png|#F08030
Pinsir||/wiki/Pinsir_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/a9/0127Pinsir.png/70px-0127Pinsir.png|#A8B820
Tauros||/wiki/Tauros_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/a/ad/0128Tauros.png/70px-0128Tauros.png|#A8A878
Tauros|Paldean Form<br>(Combat Breed)|/wiki/Tauros_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/2/25/0128Tauros-Paldea_Combat.png/70px-0128Tauros-Paldea_Combat.png|#C03028
Tauros|Paldean Form<br>(Blaze Breed)|/wiki/Tauros_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f5/0128Tauros-Paldea_Blaze.png/70px-0128Tauros-Paldea_Blaze.png|#C03028
